Site,Plot,Species,TPA,BA,IV,,
Bagley Bottoms,BB01,ACSA,130,21.34079298,100,,
Bagley Bottoms,BB01,ACNE,0,0,0,,
Bagley Bottoms,BB01,BENI,0,0,0,,
Bagley Bottoms,BB01,CEOC,0,0,0,,
Bagley Bottoms,BB01,FRPE,0,0,0,,
Bagley Bottoms,BB01,PODE,0,0,0,,
Bagley Bottoms,BB01,QUBI,0,0,0,,
Bagley Bottoms,BB01,QUEL,0,0,0,,
Bagley Bottoms,BB01,ROPS,0,0,0,,
Bagley Bottoms,BB01,TIAM,0,0,0,,
Bagley Bottoms,BB01,ULAM,0,0,0,,
Bagley Bottoms,BB02,ACSA,90,8.84006136,57.6581224,,
Bagley Bottoms,BB02,ULAM,40,10.34182026,42.34187762,,
Bagley Bottoms,BB02,ACNE,0,0,0,,
Bagley Bottoms,BB02,BENI,0,0,0,,
Bagley Bottoms,BB02,CEOC,0,0,0,,
Bagley Bottoms,BB02,FRPE,0,0,0,,
Bagley Bottoms,BB02,PODE,0,0,0,,
Bagley Bottoms,BB02,QUBI,0,0,0,,
Bagley Bottoms,BB02,QUEL,0,0,0,,
Bagley Bottoms,BB02,ROPS,0,0,0,,
Bagley Bottoms,BB02,TIAM,0,0,0,,
Bagley Bottoms,BB03,ACSA,90,11.12556006,61.08237285,,
Bagley Bottoms,BB03,FRPE,30,4.1464035,21.65793815,,
Bagley Bottoms,BB03,ULAM,40,1.6067484,17.25968902,,
Bagley Bottoms,BB03,ACNE,0,0,0,,
Bagley Bottoms,BB03,BENI,0,0,0,,
Bagley Bottoms,BB03,CEOC,0,0,0,,
Bagley Bottoms,BB03,PODE,0,0,0,,
Bagley Bottoms,BB03,QUBI,0,0,0,,
Bagley Bottoms,BB03,QUEL,0,0,0,,
Bagley Bottoms,BB03,ROPS,0,0,0,,
Bagley Bottoms,BB03,TIAM,0,0,0,,
Bagley Bottoms,BB04,ACSA,120,17.2878165,87.3382446,,
Bagley Bottoms,BB04,FRPE,10,1.19464416,6.64521689,,
Bagley Bottoms,BB04,ULAM,10,0.95030496,6.01653849,,
Bagley Bottoms,BB04,ACNE,0,0,0,,
Bagley Bottoms,BB04,BENI,0,0,0,,
Bagley Bottoms,BB04,CEOC,0,0,0,,
Bagley Bottoms,BB04,PODE,0,0,0,,
Bagley Bottoms,BB04,QUBI,0,0,0,,
Bagley Bottoms,BB04,QUEL,0,0,0,,
Bagley Bottoms,BB04,ROPS,0,0,0,,
Bagley Bottoms,BB04,TIAM,0,0,0,,
Bagley Bottoms,BB05,ACSA,90,11.63752704,85.7853833,,
Bagley Bottoms,BB05,PODE,20,1.32870348,14.2146167,,
Bagley Bottoms,BB05,ACNE,0,0,0,,
Bagley Bottoms,BB05,BENI,0,0,0,,
Bagley Bottoms,BB05,CEOC,0,0,0,,
Bagley Bottoms,BB05,FRPE,0,0,0,,
Bagley Bottoms,BB05,QUBI,0,0,0,,
Bagley Bottoms,BB05,QUEL,0,0,0,,
Bagley Bottoms,BB05,ROPS,0,0,0,,
Bagley Bottoms,BB05,TIAM,0,0,0,,
Bagley Bottoms,BB05,ULAM,0,0,0,,
Bagley Bottoms,BB07,ACSA,60,9.6931215,49.96283212,,ACNE
Bagley Bottoms,BB07,FRPE,20,1.707102,12.42731376,,ACSA
Bagley Bottoms,BB07,ULAM,30,3.00335418,19.86889538,,BENI
Bagley Bottoms,BB07,ACNE,0,0,0,,CEOC
Bagley Bottoms,BB07,BENI,0,0,0,,FRPE
Bagley Bottoms,BB07,CEOC,0,0,0,,PODE
Bagley Bottoms,BB07,PODE,0,0,0,,QUBI
Bagley Bottoms,BB07,QUBI,0,0,0,,QUEL
Bagley Bottoms,BB07,QUEL,0,0,0,,ROPS
Bagley Bottoms,BB07,ROPS,0,0,0,,TIAM
Bagley Bottoms,BB07,TIAM,0,0,0,,ULAM
Bagley Bottoms,BB08,ACSA,70,15.2046612,82.12118455,,
Bagley Bottoms,BB08,ULAM,20,2.38018014,17.87881545,,
Bagley Bottoms,BB08,ACNE,0,0,0,,
Bagley Bottoms,BB08,BENI,0,0,0,,
Bagley Bottoms,BB08,CEOC,0,0,0,,
Bagley Bottoms,BB08,FRPE,0,0,0,,
Bagley Bottoms,BB08,PODE,0,0,0,,
Bagley Bottoms,BB08,QUBI,0,0,0,,
Bagley Bottoms,BB08,QUEL,0,0,0,,
Bagley Bottoms,BB08,ROPS,0,0,0,,
Bagley Bottoms,BB08,TIAM,0,0,0,,
Bagley Bottoms,BB09,ACSA,170,29.23333092,87.8333368,,
Bagley Bottoms,BB09,PODE,10,2.13818616,5.78374552,,
Bagley Bottoms,BB09,ULAM,10,2.54461824,6.382917675,,
Bagley Bottoms,BB10,ACSA,30,3.02522472,32.25164548,,
Bagley Bottoms,BB10,CEOC,10,1.82649006,14.40166592,,
Bagley Bottoms,BB10,QUBI,40,3.96909396,42.71415497,,
Goose Island,GI02,ACSA,100,6.89483772,50.53832555,,
Goose Island,GI02,FRPE,20,3.38769756,16.73868346,,
Goose Island,GI02,PODE,50,4.61910168,29.13700475,,
Goose Island,GI02,ULAM,10,0.24483006,3.585986252,,
Goose Island,GI04,BENI,20,2.83024422,38.36231361,,
Goose Island,GI04,FRPE,20,4.51858446,49.31607963,,
Goose Island,GI04,QUEL,10,0.35783694,12.32160676,,
Goose Island,GI05,FRPE,30,7.96927572,51.5248429,,
Goose Island,GI05,ROPS,40,5.27036382,48.47515709,,
Goose Island,GI06,BENI,90,10.76243274,88.0263857,,
Goose Island,GI06,FRPE,10,0.28273536,5.78325325,,
Goose Island,GI06,QUBI,10,0.37572606,6.19036104,,
Goose Island,GI09,ACSA,10,0.28273536,5.231409785,,
Goose Island,GI09,CEOC,30,1.81383678,19.33066395,,
Goose Island,GI09,FRPE,70,10.92092598,70.29339655,,
Goose Island,GI09,QUEL,10,0.25966494,5.144529705,,
Goose Island,GI10,ACNE,10,0.45164574,9.831703025,,
Goose Island,GI10,BENI,40,4.36985388,54.58709215,,
Goose Island,GI10,CEOC,10,1.19464416,14.25509966,,
Goose Island,GI10,FRPE,10,2.38236174,21.32610519,,
Goose Island,GI12,BENI,30,4.6560798,37.11182496,,
Goose Island,GI12,FRPE,30,7.67955924,49.03528903,,
Goose Island,GI12,QUEL,20,0.3430566,13.85288602,,
Goose Island,GI13,BENI,10,1.16257464,13.05696322,,
Goose Island,GI13,QUBI,20,0.78499422,16.17621528,,
Goose Island,GI13,QUEL,50,3.97498428,53.42600415,,
Goose Island,GI13,ULAM,10,1.82649006,17.34081738,,
Goose Island,GI14,CEOC,10,0.57861486,8.582788955,,
Goose Island,GI14,FRPE,40,3.42151236,40.12310451,,
Goose Island,GI14,QUBI,30,1.86979482,26.44917611,,
Goose Island,GI14,QUEL,10,3.686904,24.84493042,,
Goose Island,GI15,BENI,120,19.29663378,82.97916715,,
Goose Island,GI15,FRPE,20,0.3667815,7.114447,,
Goose Island,GI15,QUEL,20,1.5513903,9.906385855,,
Great River Harbor,GR01,ACSA,90,7.65381636,74.56448535,,
Great River Harbor,GR01,FRPE,40,1.46401722,23.02605446,,
Great River Harbor,GR01,ULAM,10,0.46162656,6.25561405,,
Great River Harbor,GR02,ACNE,20,0.95821326,10.60016068,,
Great River Harbor,GR02,ACSA,60,5.06752956,36.98816074,,
Great River Harbor,GR02,FRPE,20,0.58799574,9.724343955,,
Great River Harbor,GR02,PODE,20,14.5218204,42.68733464,,
Great River Harbor,GR03,ACSA,110,34.05188538,87.23406635,,
Great River Harbor,GR03,FRPE,10,1.02366126,5.012842755,,
Great River Harbor,GR03,PODE,20,0.43337484,7.753090885,,
Great River Harbor,GR04,ACSA,20,9.364518,41.37704133,,
Great River Harbor,GR04,FRPE,10,0.41281326,7.52297802,,
Great River Harbor,GR04,QUEL,10,2.405214,13.6668755,,
Great River Harbor,GR04,TIAM,40,4.03192404,37.43310517,,
Indian Slough,IS01,ACSA,30,1.51070346,17.37612618,,
Indian Slough,IS01,BENI,40,3.01508028,25.64568159,,
Indian Slough,IS01,CEOC,40,15.672069,56.97819225,,
Indian Slough,IS02,ACSA,20,1.74538908,43.06397367,,
Indian Slough,IS02,FRPE,30,0.5085855,29.81421198,,
Indian Slough,IS02,PODE,10,0.6013035,17.05724717,,
Indian Slough,IS02,ULAM,10,0.17720046,10.06456719,,
Indian Slough,IS03,ACSA,30,1.21373316,18.1902453,,
Indian Slough,IS03,CEOC,60,11.47559778,70.32874325,,
Indian Slough,IS03,FRPE,20,0.6370272,11.48101145,,
Indian Slough,IS04,ACSA,70,12.67111458,65.1848036,,
Indian Slough,IS04,CEOC,10,6.04788606,19.40711879,,
Indian Slough,IS04,FRPE,20,2.2702275,15.40807762,,
Lake Rebecca,LR01,ACNE,20,1.09892646,9.8406006,,
Lake Rebecca,LR01,FRPE,30,2.36883582,17.93435436,,
Lake Rebecca,LR01,PODE,110,5.86964934,53.3548949,,
Lake Rebecca,LR01,ULAM,40,2.01372588,18.87015015,,
Lake Rebecca,LR02,ACSA,270,31.94445978,91.52803485,,
Lake Rebecca,LR02,FRPE,10,1.24356654,3.477957505,,
Lake Rebecca,LR02,PODE,10,0.18985374,1.943194162,,
Lake Rebecca,LR02,ULAM,10,0.95030496,3.050813483,,
Lake Rebecca,LR03,ACSA,130,11.93940594,60.87332305,,
Lake Rebecca,LR03,FRPE,60,4.69038546,25.94349012,,
Lake Rebecca,LR03,PODE,30,2.42577558,13.18318682,,
Lake Rebecca,LR04,ACSA,80,23.9305158,50.6086292,,
Lake Rebecca,LR04,FRPE,70,8.81540928,28.29296106,,
Lake Rebecca,LR04,PODE,40,1.63396386,11.67877979,,
Lake Rebecca,LR04,ULAM,20,3.53162862,9.41962997,,
Lake Rebecca,LR05,ACSA,30,1.5012135,16.33773744,,
Lake Rebecca,LR05,FRPE,10,0.31502304,5.112325935,,
Lake Rebecca,LR05,PODE,50,22.9678848,64.0570651,,
Lake Rebecca,LR05,ULAM,20,3.00199068,14.49287155,,
MCBC,BC01,FRPE,30,7.37020836,60.0102595,,
MCBC,BC01,PODE,10,1.98967374,17.78476137,,
MCBC,BC01,TIAM,10,0.73389024,11.8194882,,
MCBC,BC01,ULAM,10,0.43201134,10.38549094,,
MCBC,BC02,ACSA,60,8.6759505,46.16760834,,
MCBC,BC02,PODE,50,10.38616128,46.17351872,,
MCBC,BC02,ULAM,10,1.43134776,7.65887294,,
McNally's Landing,ML01,FRPE,180,14.81857254,100,,
McNally's Landing,ML02,CEOC,70,10.1678922,66.16041605,,
McNally's Landing,ML02,FRPE,20,1.45381824,13.62274697,,
McNally's Landing,ML02,ULAM,30,2.12100606,20.21683699,,
