Site,Plot,Tree #,Species,Pith Score,Match Score,Core Condition,Notes,,,,,,
Bagley Bottoms,4,1,ASH,C,B,A,,,,,,,
Bagley Bottoms,4,2,SM,C,C,A,,,,,,,
Bagley Bottoms,4,3,SM,B,A,B,,,,,,,
Bagley Bottoms,4,4,SM,B,A,B,Now tree 6,,,,,,
Bagley Bottoms,4,5,SM,B,A,B,,,,,,,
Bagley Bottoms,4,6,AE,C,C,A,now silver maple,,,,,,
Bagley Bottoms,4,7,SM,A,C,A,,,,,,,
Bagley Bottoms,4,8,SM,C,B,A,,,,,,,
Bagley Bottoms,4,9,SM,C,C,B,,,,,,,
Bagley Bottoms,4,10,SM,C,C,A,,,,,,,
Bagley Bottoms,4,11,SM,,,,,,,,,,
Bagley Bottoms,4,12,SM,B,C,B,,,,,,,
Bagley Bottoms,4,13,SM,C,C,A,,,,,,,
Bagley Bottoms,4,14,SM,B,C,B,,,,,,,
Bagley Bottoms,4,15,SM,,,,,,,,,,
Bagley Bottoms,5,1,CW,C,A,A,,,,,,,
Bagley Bottoms,5,2,SM,A,B,A,,,,,,,
Bagley Bottoms,5,3,SM,C,A,A,,,,,,,
Bagley Bottoms,5,4,SM,A,C,B,,,,,,,
Bagley Bottoms,5,5,SM,C,B,A,,,,,,,
Bagley Bottoms,5,6,SM,C,B,B,,,,,,,
Bagley Bottoms,5,7,SM,C,C,A,,,,,,,
Bagley Bottoms,5,8,SM,B,,B,,,,,,,
Bagley Bottoms,5,9,CW,C,B,C,,,,,,,
Bagley Bottoms,5,10,SM,C,,B,,,,,,,
Bagley Bottoms,5,11,SM,B,C,A,,,,,,,
Bagley Bottoms,10,1,SWO,B,B,A,,,,,,,
Bagley Bottoms,10,2,SWO,C,B,A,,,,,,,
Bagley Bottoms,10,3,HB,A,B,B,,,,,,,
Bagley Bottoms,10,4,SWO,B,C,B,,,,,,,
Bagley Bottoms,10,5,SWO,A,A,B,,,,,,,
Bagley Bottoms,10,6,SM,C,,B,,,,,,,
Bagley Bottoms,10,7,SM,B,B,A,,,,,,,
Bagley Bottoms,10,8,SM,B,C,B,,,,,,,
Bagley Bottoms,8,1,SM,A,C,A,,,,,,,
Bagley Bottoms,8,2,SM,C,C,A,,,,,,,
Bagley Bottoms,8,3,SM,A,B,A,,,,,,,
Bagley Bottoms,8,4,SM,C,C,A,,,,,,,
Bagley Bottoms,8,5,SM,B,A,B,,,,,,,
Bagley Bottoms,8,6,SM,,,,,,,,,,
Bagley Bottoms,8,7,AE,C,B,B,,,,,,,
Bagley Bottoms,8,8,SM,,,,,,,,,,
Bagley Bottoms,8,9,AE,B,B,A,,,,,,,
Bagley Bottoms,7,1,?,C,C,C,,,,,,,
Bagley Bottoms,7,2,ASH,A,A,A,,,,,,,
Bagley Bottoms,7,3,SM,C,C,B,,,,,,,
Bagley Bottoms,7,4,?,C,B,C,,,,,,,
Bagley Bottoms,7,5,SM,,,,,,,,,,
Bagley Bottoms,7,6,ASH,C,B,A,,,,,,,
Bagley Bottoms,7,7,SM,A,C,A,,,,,,,
Bagley Bottoms,7,8,SM,C,C,A,,,,,,,
Bagley Bottoms,7,9,AE,B,A,B,,,,,,,
Bagley Bottoms,7,10,AE,A,A,A,,,,,,,
Bagley Bottoms,7,11,AE,C,B,A,,,,,,,
Bagley Bottoms,7,12,SM,C,C,A,,,,,,,
Bagley Bottoms,7,13,SM,,,,,,,,,,
Bagley Bottoms,9,1,SM,A,C,C,,,,,,,
Bagley Bottoms,9,2,SM,C,C,C,,,,,,,
Bagley Bottoms,9,3,SM,C,B,A,,,,,,,
Bagley Bottoms,9,4,CW,C,A,C,,,,,,,
Bagley Bottoms,9,5,SM,C,C,A,,,,,,,
Bagley Bottoms,9,6,SM,C,C,B,,,,,,,
Bagley Bottoms,9,7,AE,A,A,B,,,,,,,
Bagley Bottoms,9,8,SM,A,C,B,,,,,,,
Bagley Bottoms,9,9,SM,B,,A,,,,,,,
Bagley Bottoms,9,10,SM,C,,A,,,,,,,
Bagley Bottoms,9,11,SM,B,B,A,,,,,,,
Bagley Bottoms,9,12,SM,B,C,A,,,,,,,
Bagley Bottoms,9,13,SM,C,B,A,,,,,,,
Bagley Bottoms,9,14,SM,A,C,A,,,,,,,
Bagley Bottoms,9,15,SM,B,B,A,,,,,,,
Bagley Bottoms,9,16,SM,C,C,A,,,,,,,
Bagley Bottoms,9,17,SM,C,,B,,,,,,,
Bagley Bottoms,9,18,SM,C,C,A,,,,,,,
Bagley Bottoms,9,19,SM,C,C,A,,,,,,,
Bagley Bottoms,2,1,AE,C,,A,,,309,cw,b,,
Bagley Bottoms,2,2,AE,C,B,A,,,,,,,
Bagley Bottoms,2,3,SM,A,C,A,,,,,,,
Bagley Bottoms,2,4,AE,A,B,A,,,,,,,
Bagley Bottoms,2,5,SM,C,B,A,,,,,,,
Bagley Bottoms,2,6,SM,A,A,A,,,,,,,
Bagley Bottoms,2,7,SM,C,C,A,,,,,,,
Bagley Bottoms,2,8,SM,C,C,A,,,,,,,
Bagley Bottoms,2,9,SM,C,A,A,,,,,,,
Bagley Bottoms,2,10,SM,B,B,B,,,,,,,
Bagley Bottoms,2,11,AE,A,C,A,,,,,,,
Bagley Bottoms,2,12,SM,C,C,A,,,,,,,
Bagley Bottoms,2,13,SM,C,C,A,,,,,,,
Bagley Bottoms,3,1,ASH,C,B,A,Wood looks elm,,,,,,
Bagley Bottoms,3,2,SM,C,B,A,,,,,,,
Bagley Bottoms,3,3,SM,C,B,B,,,,,,,
Bagley Bottoms,3,4,SM,C,C,B,,,,,,,
Bagley Bottoms,3,5,SM,B,B,A,,,,,,,
Bagley Bottoms,3,6,ASH,B,,A,Wood looks elm,,,,,,
Bagley Bottoms,3,7,SM,C,,A,,,,,,,
Bagley Bottoms,3,8,SM,C,,A,,,,,,,
Bagley Bottoms,3,9,ASH,C,,C,Wood looks elm,should be 11,,,,a,b
Bagley Bottoms,3,10,AE,A,B,A,,,,,,,
Bagley Bottoms,3,11,SM,C,C,A,,,,,,,
Bagley Bottoms,3,12,SM,C,C,B,,,,,,,
Bagley Bottoms,3,13,AE,C,C,B,,,,,,,
Bagley Bottoms,3,14,SM,C,C,B,,,,,,,
Bagley Bottoms,3,15,AE,C,B,A,,,,,,,
Bagley Bottoms,3,16,AE,B,C,B,,,,,,,
Bagley Bottoms,1,1,SM,C,B,A,,,,,,,
Bagley Bottoms,1,2,SM,C,C,A,,,,,,,
Bagley Bottoms,1,3,SM,C,C,A,,,,,,,
Bagley Bottoms,1,4,SM,B,C,A,,,,,,,
Bagley Bottoms,1,5,SM,B,B,A,,,,,,,
Bagley Bottoms,1,6,SM,B,C,A,,,,,,,
Bagley Bottoms,1,7,SM,A,B,B,,,,,,,
Bagley Bottoms,1,8,SM,C,B,A,,,,,,,
Bagley Bottoms,1,9,SM,B,C,B,,,,,,,
Bagley Bottoms,1,10,SM,,,,,,,,,,
Bagley Bottoms,1,11,SM,,,,,,,,,,
Bagley Bottoms,1,12,SM,,,,,,,,,,
Bagley Bottoms,1,13,SM,,,,,,,,,,
Goose Island,2,1,ASH,B,A,B,,,,,,,
Goose Island,2,2,CW,,,,,,,,,,
Goose Island,2,3,CW,,,,,,,,,,
Goose Island,2,4,SM,A,C,A,,,,,,,
Goose Island,2,5,ASH,C,A,B,,,,,,,
Goose Island,2,6,SM,C,B,C,,,,,,,
Goose Island,2,7,CW,C,C,C,,,,,,,
Goose Island,2,8,AE,C,C,C,,,,,,,
Goose Island,2,9,CW,,,,,,,,,,
Goose Island,2,10,SM,C,B,B,,,,,,,
Goose Island,2,11,SM,A,C,C,,,,,,,
Goose Island,2,12,SM,B,B,B,,,,,,,
Goose Island,2,13,SM,A,A,B,,,,,,,
Goose Island,2,14,SM,C,B,B,,,,,,,
Goose Island,2,15,SM,C,C,A,,,,,,,
Goose Island,2,16,SM,,,,,,,,,,
Goose Island,2,17,CW,B,B,A,should be silver maple,,,,,,
Goose Island,2,18,SM,,,,,,,,,,
Goose Island,5,1,ASH,A,B,A,,,,,,,
Goose Island,5,2,ASH,C,B,C,,,,,,,
Goose Island,5,3,BL,C,B,C,,,,,,,
Goose Island,5,4,BL,B,B,C,,,,,,,
Goose Island,5,5,BL,,,,,,,,,,
Goose Island,5,6,BL,B,B,C,,,,,,,
Goose Island,5,7,ASH,B,C,C,,,,,,,
Goose Island,9,1,SM,A,C,B,,,,,,,
Goose Island,9,2,ASH,B,C,C,,,,,,,
Goose Island,9,3,ASH,C,,B,,,,,,,
Goose Island,9,4,ASH,A,,B,,,,,,,
Goose Island,9,5,OAK,C,C,B,,,,,,,
Goose Island,9,6,HB,,,,,,,,,,
Goose Island,9,7,ASH,B,B,A,,,,,,,
Goose Island,9,8,HB,,,,,,,,,,
Goose Island,9,9,ASH,B,B,B,,,,,,,
Goose Island,9,10,ASH,A,A,B,,,,,,,
Goose Island,9,11,ASH,A,B,A,,,,,,,
Goose Island,9,12,HB,B,C,C,,,,,,,
Goose Island,12,1,ASH,B,B,A,,,,,,,
Goose Island,12,2,ASH,C,B,A,,,,,,,
Goose Island,12,3,OAK,C,B,C,,,,,,,
Goose Island,12,4,RB,,,,,,,,,,
Goose Island,12,5,OAK,C,A,A,,,,,,,
Goose Island,12,6,ASH,C,B,A,,,,,,,
Goose Island,12,7,RB,,,,,,,,,,
Goose Island,12,8,RB,,,,,,,,,,
Goose Island,14,1,ASH,A,B,B,,,,,,,
Goose Island,14,2,SWO,A,A,A,,,,,,,
Goose Island,14,3,SWO,C,B,C,,,,,,,
Goose Island,14,4,SWO,C,A,A,,,,,,,
Goose Island,14,5,HB,B,A,C,,,,,,,
Goose Island,14,6,OAK,C,C,B,,,,,,,
Goose Island,14,7,ASH,A,B,A,,,,,,,
Goose Island,14,8,ASH,B,B,B,,,,,,,
Goose Island,14,9,ASH,,,,,,,,,,
Goose Island,10,1,RB,,,,,,,,,,
Goose Island,10,2,RB,,,,,,,,,,
Goose Island,10,3,BE,B,,B,,,,,,,
Goose Island,10,4,RB,,,,,,,,,,
Goose Island,10,5,ASH,B,,C,should be box elder,,,,,,
Goose Island,10,6,RB,,,,,,,,,,
Goose Island,10,7,HB,C,B,C,,,,,,,
Goose Island,13,1,RB,,,,,,,,,,
Goose Island,13,2,OAK,A,C,B,,,,,,,
Goose Island,13,3,OAK,A,B,B,,,,,,,
Goose Island,13,4,OAK,B,B,B,,,,,,,
Goose Island,13,5,OAK,B,A,B,,,,,,,
Goose Island,13,6,OAK,C,A,B,,,,,,,
Goose Island,13,7,SWO,C,C,C,,,,,,,
Goose Island,13,8,AE,B,B,C,,,,,,,
Goose Island,13,9,SWO,C,B,C,,,,,,,
Goose Island,6,1,SWO,B,A,B,,,,,,,
Goose Island,6,2,ASH,B,B,A,,,,,,,
Goose Island,6,3,RB,,,,,,,,,,
Goose Island,6,4,RB,,,,,,,,,,
Goose Island,6,5,RB,,,,,,,,,,
Goose Island,6,6,RB,,,,,,,,,,
Goose Island,6,7,RB,,,,,,,,,,
Goose Island,6,8,RB,,,,,,,,,,
Goose Island,6,9,RB,,,,,,,,,,
Goose Island,6,10,RB,,,,,,,,,,
Goose Island,6,11,RB,,,,,,,,,,
Goose Island,4,1,ASH,B,A,B,,,,,,,
Goose Island,4,2,RB,,,,,,,,,,
Goose Island,4,3,RB,C,,B,,,,,,,
Goose Island,4,4,OAK,C,C,B,,,,,,,
Goose Island,4,5,ASH,A,B,B,,,,,,,
Goose Island,15,1,ASH,B,B,B,,,,,,,
Goose Island,15,2,RB,A,,A,ash,,,,,,
Goose Island,15,3,RB,B,,A,ash,,,,,,
Goose Island,15,4,ASH,B,,C,oak,,,,,,
Goose Island,15,5,OAK,,,,,,,,,,
Goose Island,15,6,RB,,,,,,,,,,
Goose Island,15,7,RB,A,A,A,,,,,,,
Goose Island,15,8,OAK,,,,,,,,,,
Goose Island,15,9,RB,,,,,,,,,,
Goose Island,15,10,RB,,,,,,,,,,
Goose Island,15,11,RB,,,,,,,,,,
Goose Island,15,12,RB,,,,,,,,,,
Goose Island,15,13,RB,,,,,,,,,,
Goose Island,15,14,RB,,,,,,,,,,
Goose Island,15,15,RB,,,,,,,,,,
Goose Island,15,16,RB,,,,,,,,,,
Great River Harbor,1,1,SM,A,B,A,,,,,,,
Great River Harbor,1,2,SM,B,B,C,,,,,,,
Great River Harbor,1,3,SM,A,B,B,,,,,,,
Great River Harbor,1,4,SM,C,C,C,,,,,,,
Great River Harbor,1,5,SM,C,C,B,,,,,,,
Great River Harbor,1,6,SM,C,B,B,,,,,,,
Great River Harbor,1,7,SM,B,C,A,ash,,,,,,
Great River Harbor,1,8,SM,A,C,B,,,,,,,
Great River Harbor,1,9,ASH,A,B,B,,,,,,,
Great River Harbor,1,10,SM,B,B,C,elm,,,,,,
Great River Harbor,1,11,ASH,B,B,A,,,,,,,
Great River Harbor,1,12,AE,A,C,B,ash,,,,,,
Great River Harbor,1,13,ASH,,,,,,,,,,
Great River Harbor,1,14,ASH,,,,,,,,,,
Great River Harbor,2,1,ASH,C,A,A,,,,,,,
Great River Harbor,2,2,CW,B,A,C,,,,,,,
Great River Harbor,2,3,CW,B,C,C,,,,,,,
Great River Harbor,2,4,BE,A,A,B,,,,,,,
Great River Harbor,2,5,ASH,A,,B,,,,,,,
Great River Harbor,2,6,SM,B,B,B,,,,,,,
Great River Harbor,2,7,SM,A,,A,,,,,,,
Great River Harbor,2,8,BE,,,,,,,,,,
Great River Harbor,2,9,SM,C,C,B,,,,,,,
Great River Harbor,2,10,SM,C,,A,,,,,,,
Great River Harbor,2,11,SM,C,C,B,,,,,,,
Great River Harbor,2,12,SM,B,C,B,,,,,,,
Great River Harbor,3,1,SM,B,,A,,,,,,,
Great River Harbor,3,2,SM,A,B,A,,,,,,,
Great River Harbor,3,3,SM,B,B,B,,,,,,,
Great River Harbor,3,4,SM,C,B,B,,,,,,,
Great River Harbor,3,5,SM,B,C,C,,,,,,,
Great River Harbor,3,6,SM,B,,B,,,,,,,
Great River Harbor,3,7,ASH,B,A,A,,,,,,,
Great River Harbor,3,8,SM,B,C,B,,,,,,,
Great River Harbor,3,9,SM,C,,A,,,,,,,
Great River Harbor,3,10,SM,B,B,A,,,,,,,
Great River Harbor,3,11,SM,C,C,C,cottonwood,,,,,,
Great River Harbor,3,12,CW,C,C,C,silver maple,,,,,,
Great River Harbor,3,13,SM,C,A,C,cottonwood,,,,,,
Great River Harbor,3,14,CW,,,,,,,,,,
Great River Harbor,4,1,BW,C,B,B,ash,,,,,,
Great River Harbor,4,2,SM,C,B,B,,,,,,,
Great River Harbor,4,3,ASH,B,A,B,,,,,,,
Great River Harbor,4,4,SM,C,B,B,,,,,,,
Great River Harbor,4,5,BW,C,B,A,,,,,,,
Great River Harbor,4,6,BW,B,B,A,oak,,,,,,
Great River Harbor,4,7,OAK,B,A,A,basswood,,,,,,
Great River Harbor,4,8,BW,,,,,,,,,,
Indian Slough,2,1,AE,B,C,C,,,,,,,
Indian Slough,2,2,ASH,B,C,A,,,,,,,
Indian Slough,2,3,ASH,,,,,,,,,,
Indian Slough,2,4,ASH,C,A,B,,,,,,,
Indian Slough,2,5,CW,,,,,,,,,,
Indian Slough,2,6,SM,C,C,B,,,,,,,
Indian Slough,2,7,SM,,,,,,,,,,
Indian Slough,3,1,HB,C,C,C,,,,,,,
Indian Slough,3,2,SM,,,,,,,,,,
Indian Slough,3,3,SM,C,A,B,,,,,,,
Indian Slough,3,4,SM,C,A,C,,,,,,,
Indian Slough,3,5,ASH,C,B,C,,,,,,,
Indian Slough,3,6,HB,,,,,,,,,,
Indian Slough,3,7,HB,B,A,B,,,,,,,
Indian Slough,3,8,HB,A,,B,,,,,,,
Indian Slough,3,9,ASH,,,,,,,,,,
Indian Slough,3,10,HB,A,B,C,,,,,,,
Indian Slough,3,11,HB,A,C,B,,,,,,,
Indian Slough,4,1,SM,C,A,B,,,,,,,
Indian Slough,4,2,SM,C,B,B,,,,,,,
Indian Slough,4,3,SM,A,B,B,,,,,,,
Indian Slough,4,4,SM,C,C,C,,,,,,,
Indian Slough,4,5,ASH,,,,,,,,,,
Indian Slough,4,6,SM,A,A,A,,,,,,,
Indian Slough,4,7,SM,A,C,B,,,,,,,
Indian Slough,4,8,SM,C,B,A,,,,,,,
Indian Slough,4,9,ASH,C,B,C,,,,,,,
Indian Slough,4,10,HB,A,B,A,,,,,,,
Indian Slough,1,1,RB,A,C,A,,,,,,,
Indian Slough,1,2,HB,A,A,B,,,,,,,
Indian Slough,1,3,RB,A,A,B,,,,,,,
Indian Slough,1,4,RB,A,B,A,,,,,,,
Indian Slough,1,5,RB,,,,,,,,,,
Indian Slough,1,6,HB,B,A,B,,,,,,,
Indian Slough,1,7,SM,C,C,C,,,,,,,
Indian Slough,1,8,HB,B,A,A,,,,,,,
Indian Slough,1,9,HB,A,B,B,,,,,,,
Indian Slough,1,10,SM,C,A,B,,,,,,,
Indian Slough,1,11,SM,C,B,A,,,,,,,
Lake Rebecca,1,1,CW,C,C,C,,,,,,,
Lake Rebecca,1,2,BE,B,B,A,,,,,,,
Lake Rebecca,1,3,BE,C,,C,,,,,,,
Lake Rebecca,1,4,AE,C,C,B,,,,,,,
Lake Rebecca,1,5,CW,B,,B,,,,,,,
Lake Rebecca,1,6,CW,B,C,C,,,,,,,
Lake Rebecca,1,7,CW,C,B,C,,,,,,,
Lake Rebecca,1,8,CW,C,,A,,,,,,,
Lake Rebecca,1,9,ASH,C,A,C,,,,,,,
Lake Rebecca,1,10,ASH,C,A,B,,,,,,,
Lake Rebecca,1,11,ASH,C,,C,,,,,,,
Lake Rebecca,1,12,CW,C,B,C,,,,,,,
Lake Rebecca,1,13,CW,,,,,,,,,,
Lake Rebecca,1,14,AE,B,B,C,,,,,,,
Lake Rebecca,1,15,AE,C,B,C,,,,,,,
Lake Rebecca,1,16,CW,,,,,,,,,,
Lake Rebecca,1,17,AE,B,B,C,,,,,,,
Lake Rebecca,1,18,CW,B,C,C,,,,,,,
Lake Rebecca,1,19,CW,C,C,A,,,,,,,
Lake Rebecca,1,20,CW,C,C,C,,,,,,,
Lake Rebecca,2,1,SM,A,,B,,,,,,,
Lake Rebecca,2,2,SM,B,B,A,,,,,,,
Lake Rebecca,2,3,SM,,,,,,,,,,
Lake Rebecca,2,4,SM,A,,A,,,,,,,
Lake Rebecca,2,5,SM,B,,B,,,,,,,
Lake Rebecca,2,6,ASH,A,A,B,,,,,,,
Lake Rebecca,2,7,SM,A,B,B,,,,,,,
Lake Rebecca,2,8,SM,C,C,B,,,,,,,
Lake Rebecca,2,9,SM,A,C,C,,,,,,,
Lake Rebecca,2,10,SM,C,,B,,,,,,,
Lake Rebecca,2,11,SM,A,,B,ash,,,,,,
Lake Rebecca,2,12,SM,,,,,,,,,,
Lake Rebecca,2,13,SM,B,,B,,,,,,,
Lake Rebecca,2,14,SM,A,C,C,,,,,,,
Lake Rebecca,2,15,SM,A,C,A,,,,,,,
Lake Rebecca,2,16,SM,B,,B,,,,,,,
Lake Rebecca,2,17,SM,C,B,C,,,,,,,
Lake Rebecca,2,18,SM,C,,B,,,,,,,
Lake Rebecca,2,19,SM,A,B,C,,,,,,,
Lake Rebecca,2,20,SM,C,B,C,,,,,,,
Lake Rebecca,2,21,SM,B,,B,,,,,,,
Lake Rebecca,2,22,SM,C,C,C,,,,,,,
Lake Rebecca,2,23,SM,A,B,B,,,,,,,
Lake Rebecca,2,24,SM,C,,B,,,,,,,
Lake Rebecca,2,25,SM,A,C,A,,,,,,,
Lake Rebecca,2,26,SM,,,,,,,,,,
Lake Rebecca,2,27,AE,,,,,,,,,,
Lake Rebecca,2,28,SM,B,B,C,,,,,,,
Lake Rebecca,2,29,SM,C,C,B,,,,,,,
Lake Rebecca,2,30,CW,C,C,B,,,,,,,
Lake Rebecca,3,1,SM,B,C,C,,,,,,,
Lake Rebecca,3,2,SM,B,C,B,,,,,,,
Lake Rebecca,3,3,ASH,C,,C,,,,,,,
Lake Rebecca,3,4,ASH,B,,B,,,,,,,
Lake Rebecca,3,5,ASH,C,B,C,,,,,,,
Lake Rebecca,3,6,ASH,C,B,B,,,,,,,
Lake Rebecca,3,7,ASH,A,C,C,,,,,,,
Lake Rebecca,3,8,SM,,,,,,,,,,
Lake Rebecca,3,9,ASH,B,A,B,,,,,,,
Lake Rebecca,3,10,SM,A,C,B,,,,,,,
Lake Rebecca,3,11,CW,C,B,B,,,,,,,
Lake Rebecca,3,12,SM,C,C,C,,,,,,,
Lake Rebecca,3,13,SM,C,,B,,,,,,,
Lake Rebecca,3,14,CW,C,B,C,,,,,,,
Lake Rebecca,3,15,SM,A,B,C,,,,,,,
Lake Rebecca,3,16,SM,C,C,B,,,,,,,
Lake Rebecca,3,17,SM,A,B,B,,,,,,,
Lake Rebecca,3,18,SM,A,C,C,,,,,,,
Lake Rebecca,3,19,SM,B,C,C,,,,,,,
Lake Rebecca,3,20,CW,C,,B,,,,,,,
Lake Rebecca,3,21,SM,C,C,B,,,,,,,
Lake Rebecca,3,22,SM,C,,C,,,,,,,
Lake Rebecca,4,1,SM,A,C,B,,,,,,,
Lake Rebecca,4,2,SM,B,C,B,,,,,,,
Lake Rebecca,4,3,CW,C,B,B,,,,,,,
Lake Rebecca,4,4,ASH,C,B,B,,,,,,,
Lake Rebecca,4,5,AE,C,,C,,,,,,,
Lake Rebecca,4,6,SM,C,C,C,,,,,,,
Lake Rebecca,4,7,AE,A,B,B,,,,,,,
Lake Rebecca,4,8,SM,C,,A,,,,,,,
Lake Rebecca,4,9,ASH,A,A,A,,,,,,,
Lake Rebecca,4,10,CW,C,B,C,,,,,,,
Lake Rebecca,4,11,SM,A,B,B,,,,,,,
Lake Rebecca,4,12,SM,B,C,B,,,,,,,
Lake Rebecca,4,13,ASH,A,A,B,,,,,,,
Lake Rebecca,4,14,CW,C,B,C,,,,,,,
Lake Rebecca,4,15,SM,A,B,C,,,,,,,
Lake Rebecca,4,16,ASH,A,B,B,elm,,,,,,
Lake Rebecca,4,17,CW,C,B,C,,,,,,,
Lake Rebecca,4,18,ASH,A,A,C,,,,,,,
Lake Rebecca,4,19,ASH,A,A,C,,,,,,,
Lake Rebecca,4,20,ASH,C,B,B,silver maple,,,,,,
Lake Rebecca,4,21,SM,,,,,,,,,,
Lake Rebecca,5,1,AE,,,,,,,,,,
Lake Rebecca,5,2,CW,C,C,C,,,,,,,
Lake Rebecca,5,3,CW,C,B,C,,,,,,,
Lake Rebecca,5,4,CW,C,C,B,,,,,,,
Lake Rebecca,5,5,SM,A,C,C,,,,,,,
Lake Rebecca,5,6,CW,C,C,B,,,,,,,
Lake Rebecca,5,7,CW,C,B,C,,,,,,,
Lake Rebecca,5,8,SM,B,C,B,,,,,,,
Lake Rebecca,5,9,ASH,B,B,C,,,,,,,
Lake Rebecca,5,10,AE,B,A,C,,,,,,,
Lake Rebecca,5,11,SM,A,C,B,,,,,,,
McNally's Landing,2,1,HB,C,B,B,,,,,,,
McNally's Landing,2,2,HB,C,A,B,,,,,,,
McNally's Landing,2,3,HB,B,A,B,,,,,,,
McNally's Landing,2,4,AE,B,A,A,,,,,,,
McNally's Landing,2,5,AE,B,B,A,,,,,,,
McNally's Landing,2,6,HB,C,A,B,,,,,,,
McNally's Landing,2,7,AE,B,B,B,hackberry,,,,,,
McNally's Landing,2,8,HB,B,A,B,,,,,,,
McNally's Landing,2,9,HB,B,A,A,elm,,,,,,
McNally's Landing,2,10,HB,A,C,A,ash,,,,,,
McNally's Landing,2,11,ASH,,,,,,,,,,
McNally's Landing,2,12,ASH,,,,,,,,,,
McNally's Landing,1,1,ASH,C,B,B,,,,,,,
McNally's Landing,1,2,ASH,C,A,C,,,,,,,
McNally's Landing,1,3,ASH,C,,B,,,,,,,
McNally's Landing,1,4,ASH,A,A,A,,,,,,,
McNally's Landing,1,5,ASH,C,B,A,,,,,,,
McNally's Landing,1,6,ASH,A,B,A,,,,,,,
McNally's Landing,1,7,ASH,A,C,C,,,,,,,
McNally's Landing,1,8,ASH,B,A,A,,,,,,,
McNally's Landing,1,9,ASH,C,A,A,,,,,,,
McNally's Landing,1,10,ASH,C,A,A,,,,,,,
McNally's Landing,1,11,ASH,A,A,A,,,,,,,
McNally's Landing,1,12,ASH,A,B,A,,,,,,,
McNally's Landing,1,13,ASH,C,B,A,,,,,,,
McNally's Landing,1,14,ASH,B,B,B,,,,,,,
McNally's Landing,1,15,ASH,C,A,A,,,,,,,
McNally's Landing,1,16,ASH,B,C,B,elm,,,,,,
McNally's Landing,1,17,ASH,,,,,,,,,,
McNally's Landing,1,18,ASH,,,,,,,,,,
Minnesota City Boat Club,2,1,CW,C,C,C,,,,,,,
Minnesota City Boat Club,2,2,CW,C,A,C,,,,,,,
Minnesota City Boat Club,2,3,SM,C,B,A,,,,,,,
Minnesota City Boat Club,2,4,SM,B,,C,,,,,,,
Minnesota City Boat Club,2,5,SM,B,,A,,,,,,,
Minnesota City Boat Club,2,6,CW,B,B,C,,,,,,,
Minnesota City Boat Club,2,7,SM,B,,A,,,,,,,
Minnesota City Boat Club,2,8,SM,C,B,C,,,,,,,
Minnesota City Boat Club,2,9,SM,B,C,A,cottonwood,,,,,,
Minnesota City Boat Club,2,10,CW,A,A,A,elm,,,,,,
Minnesota City Boat Club,2,11,AE,C,B,A,cottonwood,,,,,,
Minnesota City Boat Club,2,12,CW,,,,,,,,,,
Minnesota City Boat Club,1,1,BW,B,C,C,,,,,,,
Minnesota City Boat Club,1,2,AE,B,A,B,,,,,,,
Minnesota City Boat Club,1,3,ASH,A,B,A,,,,,,,
Minnesota City Boat Club,1,4,ASH,B,B,B,,,,,,,
Minnesota City Boat Club,1,5,CW,C,B,C,,,,,,,
Minnesota City Boat Club,1,6,ASH,C,A,A,,,,,,,
